accession,Strain,lineage,passed
GCA_001846885.1_ASM184688v1,02-R1881,LIN-4,TRUE
GCA_001846865.1_ASM184686v1,02-R1896,LIN-4,TRUE
GCA_001846895.1_ASM184689v1,02-R1897,LIN-4,TRUE
GCF_001850365.1_ASM185036v1,02-R1903,LIN-4,TRUE
GCA_001846965.1_ASM184696v1,02-R1904,LIN-4,TRUE
GCA_001846745.1_ASM184674v1,02-R1930,LIN-4,TRUE
GCA_001852795.1_ASM185279v1,02-R1933,LIN-4,TRUE
GCA_001852815.1_ASM185281v1,02-R1943,LIN-4,TRUE
GCA_001850345.1_ASM185034v1,02-R1944,LIN-4,TRUE
GCA_001841005.1_ASM184100v1,02-R1945,LIN-4,TRUE
GCF_001851365.1_ASM185136v1,02-R1947,LIN-4,TRUE
GCF_001848655.1_ASM184865v1,02-R1951,LIN-2,TRUE
GCA_001852085.1_ASM185208v1,02-R1953,LIN-4,TRUE
GCA_001852425.1_ASM185242v1,02-R1955,LIN-4,TRUE
GCA_001846905.1_ASM184690v1,02-R1956,LIN-4,TRUE
GCA_001322145.1_6954_1_56,0217M,LIN-2,TRUE
GCA_001377395.1_6954_1_57,0218N,LIN-2,TRUE
GCA_001377615.1_6954_1_58,0219P,LIN-4,TRUE
GCA_001377335.1_6954_1_80,0221R,LIN-4,TRUE
GCA_001377115.1_6954_1_78,0224V,LIN-2,TRUE
GCA_001379415.1_7755_2_23,0228Z,LIN-2,TRUE
GCA_001322245.1_6954_1_59,0233E,LIN-2,TRUE
GCA_001385215.1_7755_2_25,0235G,LIN-4,TRUE
GCA_001384735.1_7755_2_26,0236H,LIN-4,TRUE
GCA_001324205.1_7755_2_27,0251Z,LIN-4,TRUE
GCA_001383335.1_7755_2_29,0255D,LIN-2,TRUE
GCA_001383155.1_7755_2_30,0259H,LIN-2,TRUE
GCA_001383255.1_7755_2_31,0262L,LIN-4,TRUE
GCA_001383055.1_7755_2_32,0268S,LIN-4,TRUE
GCA_001382175.1_7755_2_34,0273Y,LIN-2,TRUE
GCA_001380455.1_7755_2_35,0275A,LIN-4,TRUE
GCA_001380415.1_7755_2_36,0277C,LIN-4,TRUE
GCA_001323185.1_7755_2_37,0278D,LIN-4,TRUE
GCA_001380715.1_7755_2_38,0280F,LIN-4,TRUE
GCA_001323225.1_7755_2_39,0281G,LIN-4,TRUE
GCA_001381075.1_7755_2_40,0282H,LIN-2,TRUE
GCA_001388755.1_8987_4_19,0283J,LIN-2,TRUE
GCA_001386995.1_8987_4_27,0284K,LIN-2,TRUE
GCA_001377415.1_6972_6_4,0285L,LIN-2,TRUE
GCA_001381435.1_7314_8_68,0286M,LIN-4,TRUE
GCA_001381155.1_7755_2_41,0290R,LIN-4,TRUE
GCA_001381095.1_7755_2_42,0293V,LIN-2,TRUE
GCA_001381275.1_7755_2_43,0296Y,LIN-2,TRUE
GCA_001847595.1_ASM184759v1,03-04003,LIN-4,TRUE
GCA_001845895.1_ASM184589v1,03-R0021,LIN-4,TRUE
GCA_001845865.1_ASM184586v1,03-R0023,LIN-4,TRUE
GCA_001846725.1_ASM184672v1,03-R0060,LIN-4,TRUE
GCA_001848175.1_ASM184817v1,03-R0061,LIN-4,TRUE
GCA_001846685.1_ASM184668v1,03-R0065,LIN-4,TRUE
GCA_001847075.1_ASM184707v1,03-R0088,LIN-4,TRUE
GCA_001847085.1_ASM184708v1,03-R0091,LIN-4,TRUE
GCA_001849745.1_ASM184974v1,03-R0096,LIN-4,TRUE
GCA_001846635.1_ASM184663v1,03-R0099,LIN-4,TRUE
GCA_001847135.1_ASM184713v1,03-R0106,LIN-4,TRUE
GCA_001847125.1_ASM184712v1,03-R0108,LIN-4,TRUE
GCA_001852625.1_ASM185262v1,03-R0131,LIN-2,TRUE
GCA_001850225.1_ASM185022v1,03-R0159,LIN-4,TRUE
GCA_001847245.1_ASM184724v1,03-R0219,LIN-4,TRUE
GCF_001852325.1_ASM185232v1,03-R0221,LIN-4,TRUE
GCA_001845925.1_ASM184592v1,03-R0231,LIN-4,TRUE
GCF_001851195.1_ASM185119v1,03-R0240,LIN-4,TRUE
GCA_001847045.1_ASM184704v1,03-R0259,LIN-4,TRUE
GCA_001847065.1_ASM184706v1,03-R0267,LIN-4,TRUE
GCA_001847175.1_ASM184717v1,03-R0276,LIN-2,TRUE
GCF_001852485.1_ASM185248v1,03-R0278,LIN-4,TRUE
GCA_001846795.1_ASM184679v1,03-R0280,LIN-4,TRUE
GCA_001847285.1_ASM184728v1,03-R0289,LIN-4,TRUE
GCF_001850085.1_ASM185008v1,03-R0290,LIN-2,TRUE
GCA_001847025.1_ASM184702v1,03-R0303,LIN-4,TRUE
GCA_001851955.1_ASM185195v1,03-R0319,LIN-4,TRUE
GCA_001848405.1_ASM184840v1,03-R0324,LIN-4,TRUE
GCA_001847495.1_ASM184749v1,03-R0326,LIN-4,TRUE
GCA_001842875.1_ASM184287v1,03-R0395,LIN-4,TRUE
GCA_001847465.1_ASM184746v1,03-R0400,LIN-4,TRUE
GCA_002129065.1_ASM212906v1,03-R0419,LIN-4,TRUE
GCA_001847405.1_ASM184740v1,03-R0465,LIN-4,TRUE
GCA_001847385.1_ASM184738v1,03-R0467,LIN-4,TRUE
GCA_001847415.1_ASM184741v1,03-R0482,LIN-4,TRUE
GCA_001846465.1_ASM184646v1,03-R0551,LIN-4,TRUE
GCA_001847445.1_ASM184744v1,03-R0555,LIN-4,TRUE
GCA_001847305.1_ASM184730v1,03-R0580,LIN-4,TRUE
GCA_001847675.1_ASM184767v1,03-R0613,LIN-4,TRUE
GCA_001847815.1_ASM184781v1,03-R0717,LIN-4,TRUE
GCA_001847505.1_ASM184750v1,03-R0744,LIN-4,TRUE
GCA_001847645.1_ASM184764v1,03-R0789,LIN-4,TRUE
GCA_001847835.1_ASM184783v1,03-R0824,LIN-4,TRUE
GCA_001846575.1_ASM184657v1,03-R0826,LIN-4,TRUE
GCA_001847745.1_ASM184774v1,03-R0835,LIN-4,TRUE
GCA_001847615.1_ASM184761v1,03-R0839,LIN-4,TRUE
GCA_001847485.1_ASM184748v1,03-R0840,LIN-4,TRUE
GCF_001850495.1_ASM185049v1,03-R0866,LIN-4,TRUE
GCA_001847565.1_ASM184756v1,03-R0877,LIN-4,TRUE
GCA_001851935.1_ASM185193v1,03-R0879,LIN-4,TRUE
GCA_001847205.1_ASM184720v1,03-R0884,LIN-4,TRUE
GCA_001850395.1_ASM185039v1,03-R0909,LIN-4,TRUE
GCF_002129885.1_ASM212988v1,03-R0915,LIN-4,TRUE
GCA_001847725.1_ASM184772v1,03-R0918,LIN-4,TRUE
GCA_001851555.1_ASM185155v1,03-R0947,LIN-4,TRUE
GCA_001840885.1_ASM184088v1,03-R0979,LIN-4,TRUE
GCA_001847545.1_ASM184754v1,03-R0988,LIN-4,TRUE
GCA_001852095.1_ASM185209v1,03-R1082,LIN-4,TRUE
GCA_001849885.1_ASM184988v1,03-R1132,LIN-4,TRUE
GCA_001847755.1_ASM184775v1,03-R1251,LIN-4,TRUE
GCF_001847665.1_ASM184766v1,03-R1256,LIN-4,TRUE
GCA_001847775.1_ASM184777v1,03-R1294,LIN-4,TRUE
GCA_001849915.1_ASM184991v1,03-R1335,LIN-4,TRUE
GCA_001847705.1_ASM184770v1,03-R1348,LIN-4,TRUE
GCA_001852375.1_ASM185237v1,03-R1625,LIN-4,TRUE
GCA_001324265.1_7755_2_44,0305H,LIN-4,TRUE
GCA_001385515.1_7755_2_45,0307K,LIN-2,TRUE
GCA_001377175.1_6954_1_76,0309M,LIN-4,TRUE
GCA_001385755.1_7755_2_47,0311P,LIN-2,TRUE
GCA_001385855.1_7755_2_48,0312Q,LIN-2,TRUE
GCA_001376375.1_6954_1_82,0314S,LIN-4,TRUE
GCA_001376315.1_6954_1_83,0317W,LIN-2,TRUE
GCA_001385935.1_7755_3_49,0319Y,LIN-4,TRUE
GCA_001325325.1_8987_4_43,0322B,LIN-2,TRUE
GCA_001386955.1_8987_4_51,0323C,LIN-2,TRUE
GCA_001389875.1_8987_4_59,0327G,LIN-4,TRUE
GCA_001324345.1_7755_3_50,0328H,LIN-2,TRUE
GCA_002915215.1_ASM291521v1,033-46,LIN-2,TRUE
GCA_001386075.1_7755_3_51,0330K,LIN-2,TRUE
GCA_001322485.1_6954_1_79,0336R,LIN-4,TRUE
GCA_001376895.1_6954_1_84,0341X,LIN-2,TRUE
GCA_001376735.1_6954_1_85,0344A,LIN-4,TRUE
GCA_001377255.1_6954_1_60,0345B,LIN-2,TRUE
GCA_001384315.1_7755_3_52,0346C,LIN-4,TRUE
GCA_001321725.1_6954_8_69,0348E,LIN-2,TRUE
GCA_001322045.1_6954_8_70,0351H,LIN-4,TRUE
GCA_001376295.1_6954_8_71,0352J,LIN-2,TRUE
GCA_001381335.1_7314_8_69,0353K,LIN-4,TRUE
GCA_001384255.1_7755_3_53,0355M,LIN-4,TRUE
GCA_001386335.1_7935_3_96,0358Q,LIN-2,TRUE
GCA_001382475.1_7755_3_54,0364X,LIN-4,TRUE
GCA_001387735.1_8987_4_75,0365Y,LIN-2,TRUE
GCA_001390515.1_8987_4_83,0366Z,LIN-2,TRUE
GCA_001376935.1_6954_8_72,0367A,LIN-2,TRUE
GCA_001382755.1_7755_3_55,0370D,LIN-2,TRUE
GCA_001322125.1_6954_8_73,0372F,LIN-2,TRUE
GCA_001322265.1_6954_8_74,0373G,LIN-4,TRUE
GCA_001377095.1_6972_6_16,0377L,LIN-4,TRUE
GCA_001377235.1_6972_6_17,0378M,LIN-2,TRUE
GCA_001377955.1_6972_6_18,0379N,LIN-4,TRUE
GCA_001377775.1_6972_6_20,0383S,LIN-2,TRUE
GCA_001324925.1_8987_4_91,0385V,LIN-2,TRUE
GCA_001375875.1_6972_6_22,0386W,LIN-2,TRUE
GCA_001382695.1_7755_3_56,0388Y,LIN-2,TRUE
GCA_001323765.1_7755_3_57,0389Z,LIN-2,TRUE
GCA_001377555.1_6972_6_5,0390A,LIN-2,TRUE
GCA_001322285.1_6954_1_96,0391B,LIN-2,TRUE
GCA_001387275.1_8987_4_4,0392C,LIN-2,TRUE
GCA_001382915.1_7755_3_58,0395F,LIN-2,TRUE
GCA_001382835.1_7755_3_59,0397H,LIN-2,TRUE
GCA_001377035.1_6954_7_1,0398J,LIN-4,TRUE
GCA_001381775.1_7755_3_60,0399K,LIN-4,TRUE
GCA_000488915.1_MB04303v1,04-303,LIN-B,TRUE
GCA_001847825.1_ASM184782v1,04-R0102,LIN-4,TRUE
GCA_001847805.1_ASM184780v1,04-R0261,LIN-4,TRUE
GCA_001852265.1_ASM185226v1,04-R0264,LIN-2,TRUE
GCA_001845945.1_ASM184594v1,04-R0265,LIN-2,TRUE
GCA_001847235.1_ASM184723v1,04-R0266,LIN-4,TRUE
GCA_001847585.1_ASM184758v1,04-R0274,LIN-4,TRUE
GCF_001852665.1_ASM185266v1,04-R0275,LIN-4,TRUE
GCA_001847925.1_ASM184792v1,04-R0277,LIN-4,TRUE
GCA_001846825.1_ASM184682v1,04-R0569,LIN-4,TRUE
GCA_001847885.1_ASM184788v1,04-R0594,LIN-2,TRUE
GCA_001847915.1_ASM184791v1,04-R0615,LIN-2,TRUE
GCA_001852225.1_ASM185222v1,04-R0746,LIN-4,TRUE
GCA_001849435.1_ASM184943v1,04-R0766,LIN-4,TRUE
GCA_001848005.1_ASM184800v1,04-R0794,LIN-4,TRUE
GCA_001381815.1_7755_3_61,0400L,LIN-4,TRUE
GCA_001381495.1_7755_3_62,0401M,LIN-2,TRUE
GCA_001377155.1_6954_1_61,0402N,LIN-2,TRUE
GCA_001378135.1_6954_1_62,0403P,LIN-2,TRUE
GCA_001378255.1_6954_1_63,0404Q,LIN-2,TRUE
GCA_001381615.1_7755_3_63,0405R,LIN-2,TRUE
GCA_001321905.1_6972_6_23,0406S,LIN-2,TRUE
GCA_001380215.1_7755_3_64,0413A,LIN-2,TRUE
GCA_001376055.1_6972_6_24,0414B,LIN-2,TRUE
GCA_001376395.1_6972_6_25,0415C,LIN-2,TRUE
GCA_001376235.1_6972_6_26,0416D,LIN-2,TRUE
GCA_001376555.1_6972_6_27,0417E,LIN-2,TRUE
GCA_001377135.1_6972_6_28,0418F,LIN-4,TRUE
GCA_001388435.1_8987_4_20,0427Q,LIN-2,TRUE
GCA_001386875.1_8987_4_28,0428R,LIN-2,TRUE
GCA_001376655.1_6972_6_6,0429S,LIN-4,TRUE
GCA_001380035.1_7755_3_65,0432W,LIN-2,TRUE
GCA_001379935.1_7755_3_66,0433X,LIN-2,TRUE
GCA_001322785.1_7755_3_67,0434Y,LIN-4,TRUE
GCA_001378875.1_7755_3_68,0435Z,LIN-2,TRUE
GCA_001326045.1_8987_4_36,0436A,LIN-2,TRUE
GCA_001376855.1_6972_6_8,0437B,LIN-4,TRUE
GCA_001377495.1_6954_7_2,0438C,LIN-2,TRUE
GCA_001388675.1_8987_4_44,0439D,LIN-4,TRUE
GCA_001377675.1_6954_7_3,0440E,LIN-2,TRUE
GCA_001391275.1_8987_4_52,0441F,LIN-2,TRUE
GCA_001389475.1_8987_4_60,0442G,LIN-2,TRUE
GCA_001322345.1_6954_7_4,0443H,LIN-2,TRUE
GCA_001377695.1_6954_7_6,0445K,LIN-4,TRUE
GCA_001377055.1_6972_6_29,0448N,LIN-4,TRUE
GCA_001377595.1_6972_6_31,0450Q,LIN-2,TRUE
GCA_001377475.1_6972_6_32,0457Y,LIN-4,TRUE
GCA_001378775.1_7755_3_69,0458Z,LIN-2,TRUE
GCA_001377855.1_6954_1_64,0459A,LIN-4,TRUE
GCA_001378315.1_6954_7_7,0460B,LIN-2,TRUE
GCA_001389175.1_8987_4_68,0462D,LIN-2,TRUE
GCA_001324985.1_8987_4_76,0464F,LIN-4,TRUE
GCA_001378115.1_6954_7_8,0465G,LIN-2,TRUE
GCA_001389935.1_8987_4_84,0466H,LIN-2,TRUE
GCA_001387575.1_8987_4_92,0468K,LIN-2,TRUE
GCA_001387215.1_8987_4_5,0469L,LIN-2,TRUE
GCA_001322585.1_6972_6_33,0472P,LIN-4,TRUE
GCA_001377735.1_6972_6_34,0473Q,LIN-4,TRUE
GCA_001322685.1_6972_6_35,0475S,LIN-2,TRUE
GCA_001378055.1_6972_6_36,0478W,LIN-2,TRUE
GCA_001322665.1_6972_6_37,0479X,LIN-4,TRUE
GCA_001389195.1_8987_4_13,0481Z,LIN-2,TRUE
GCA_001378635.1_7755_3_70,0482A,LIN-2,TRUE
GCA_001378475.1_7755_3_71,0484C,LIN-2,TRUE
GCA_001322905.1_7755_3_72,0486E,LIN-2,TRUE
GCA_001388575.1_8987_4_21,0495P,LIN-2,TRUE
GCA_001322865.1_7755_3_73,0498S,LIN-4,TRUE
GCA_001846015.1_ASM184601v1,05-13057,LIN-2,TRUE
GCA_001846035.1_ASM184603v1,05-13058,LIN-4,TRUE
GCA_001846095.1_ASM184609v1,05-13060,LIN-4,TRUE
GCA_001847985.1_ASM184798v1,05-13131,LIN-4,TRUE
GCA_001846005.1_ASM184600v1,05-13169,LIN-4,TRUE
GCA_001845745.1_ASM184574v1,05-14290,LIN-4,TRUE
GCA_001845965.1_ASM184596v1,05-14298,LIN-4,TRUE
GCA_001847905.1_ASM184790v1,05-17842,LIN-4,TRUE
GCA_000729765.1_ASM72976v1,05-566,LIN-B,TRUE
GCA_000729755.1_ASM72975v1,05-567,LIN-B,TRUE
GCA_001377815.1_6972_6_38,0502X,LIN-4,TRUE
GCA_001384595.1_7755_3_74,0506B,LIN-2,TRUE
GCA_001376695.1_6972_6_9,0507C,LIN-4,TRUE
GCA_001377935.1_6972_6_39,0508D,LIN-2,TRUE
GCA_001322325.1_6972_6_40,0509E,LIN-2,TRUE
GCA_001377575.1_6972_6_41,0510F,LIN-2,TRUE
GCA_001377635.1_6972_6_42,0511G,LIN-2,TRUE
GCA_001322225.1_6972_6_43,0512H,LIN-2,TRUE
GCA_001322605.1_6954_1_65,0514K,LIN-2,TRUE
GCA_001323965.1_7755_3_75,0516M,LIN-4,TRUE
GCA_001376015.1_6954_1_66,0517N,LIN-2,TRUE
GCA_001383675.1_7755_3_76,0518P,LIN-2,TRUE
GCA_001375915.1_6954_1_67,0519Q,LIN-2,TRUE
GCA_001384215.1_7755_3_77,0520R,LIN-4,TRUE
GCA_001389335.1_8987_4_37,0524W,LIN-4,TRUE
GCA_001383975.1_7755_3_78,0525X,LIN-2,TRUE
GCA_001383275.1_7755_3_79,0527Z,LIN-4,TRUE
GCA_001323785.1_7755_3_80,0528A,LIN-4,TRUE
GCA_001383035.1_7755_3_81,0529B,LIN-4,TRUE
GCA_001323885.1_7755_3_82,0530C,LIN-2,TRUE
GCA_001383395.1_7755_3_83,0532E,LIN-2,TRUE
GCA_001323325.1_7755_3_84,0533F,LIN-4,TRUE
GCA_001381035.1_7755_3_85,0534G,LIN-2,TRUE
GCA_001381195.1_7755_3_86,0536J,LIN-4,TRUE
GCA_001325105.1_8987_4_45,0539M,LIN-2,TRUE
GCA_001391215.1_8987_4_53,0541P,LIN-2,TRUE
GCA_001380735.1_7755_3_87,0543R,LIN-2,TRUE
GCA_001322165.1_6972_6_10,0544S,LIN-4,TRUE
GCA_001376255.1_6972_6_11,0547W,LIN-4,TRUE
GCA_001376595.1_6972_6_12,0548X,LIN-4,TRUE
GCA_001387295.1_8987_4_69,0552B,LIN-2,TRUE
GCA_001377375.1_6972_6_13,0555E,LIN-4,TRUE
GCA_001380895.1_7755_3_88,0556F,LIN-2,TRUE
GCA_001386755.1_8987_4_77,0562M,LIN-2,TRUE
GCA_001377315.1_6972_6_44,0567S,LIN-4,TRUE
GCA_001323165.1_7755_3_89,0570W,LIN-2,TRUE
GCA_001376975.1_6972_6_46,0571X,LIN-2,TRUE
GCA_001377515.1_6972_6_14,0573Z,LIN-4,TRUE
GCA_001389995.1_8987_4_85,0574A,LIN-2,TRUE
GCA_001387615.1_8987_4_93,0575B,LIN-4,TRUE
GCA_001377215.1_6954_1_77,0584L,LIN-2,TRUE
GCA_001380535.1_7755_3_90,0585M,LIN-4,TRUE
GCA_001380635.1_7755_3_91,0589R,LIN-2,TRUE
GCA_001380335.1_7755_3_92,0590S,LIN-2,TRUE
GCA_001324245.1_7755_3_94,0592V,LIN-2,TRUE
GCA_001384935.1_7755_3_95,0593W,LIN-2,TRUE
GCA_001324185.1_7755_3_96,0596Z,LIN-4,TRUE
GCA_001849145.1_ASM184914v1,06-05801,LIN-4,TRUE
GCA_001847965.1_ASM184796v1,06-14433,LIN-4,TRUE
GCA_001845755.1_ASM184575v1,06-18635,LIN-4,TRUE
GCA_001845635.1_ASM184563v1,06-R0222,LIN-4,TRUE
GCA_001384755.1_7314_8_70,0600D,LIN-4,TRUE
GCA_001387135.1_8987_4_6,0601E,LIN-4,TRUE
GCA_001325525.1_8987_4_14,0603G,LIN-2,TRUE
GCA_001389035.1_8987_4_22,0604H,LIN-4,TRUE
GCA_001385275.1_7755_4_1,0608M,LIN-2,TRUE
GCA_001385015.1_7755_4_2,0609N,LIN-2,TRUE
GCA_001375775.1_6954_1_68,0611Q,LIN-2,TRUE
GCA_001390915.1_8987_4_30,0613S,LIN-2,TRUE
GCA_001385455.1_7755_4_3,0616W,LIN-2,TRUE
GCA_001385355.1_7755_4_4,0617X,LIN-4,TRUE
GCA_001322445.1_6972_6_15,0620A,LIN-4,TRUE
GCA_001389295.1_8987_4_38,0622C,LIN-2,TRUE
GCA_001375735.1_6954_1_86,0628J,LIN-2,TRUE
GCA_001384915.1_7314_8_71,0629K,LIN-2,TRUE
GCA_001376335.1_6972_6_47,0630L,LIN-2,TRUE
GCA_001376875.1_6954_1_69,0635R,LIN-4,TRUE
GCA_001322085.1_6954_1_70,0636S,LIN-4,TRUE
GCA_001391255.1_8987_4_54,0638V,LIN-2,TRUE
GCA_001385715.1_7755_4_5,0639W,LIN-2,TRUE
GCA_001376615.1_6954_1_72,0640X,LIN-4,TRUE
GCA_001389355.1_8987_4_62,0645C,LIN-2,TRUE
GCA_001324865.1_8987_4_70,0646D,LIN-4,TRUE
GCA_001324765.1_8987_4_78,0647E,LIN-2,TRUE
GCA_001389735.1_8987_4_86,0649G,LIN-2,TRUE
GCA_001387435.1_8987_4_94,0650H,LIN-2,TRUE
GCA_001387695.1_8987_4_7,0651J,LIN-2,TRUE
GCA_001385655.1_7755_4_6,0653L,LIN-2,TRUE
GCA_001389415.1_8987_4_15,0658R,LIN-2,TRUE
GCA_001325405.1_8987_4_23,0659S,LIN-4,TRUE
GCA_001389015.1_8987_4_39,0663X,LIN-4,TRUE
GCA_001325205.1_8987_4_47,0664Y,LIN-2,TRUE
GCA_001391175.1_8987_4_55,0665Z,LIN-2,TRUE
GCA_001389435.1_8987_4_63,0666A,LIN-2,TRUE
GCA_001385535.1_7755_4_7,0667B,LIN-2,TRUE
GCA_001383995.1_7755_4_8,0668C,LIN-2,TRUE
GCA_001384195.1_7755_4_9,0669D,LIN-2,TRUE
GCA_001384055.1_7755_4_10,0671F,LIN-4,TRUE
GCA_001380955.1_7755_4_11,0672G,LIN-2,TRUE
GCA_001325925.1_8987_4_79,0678N,LIN-4,TRUE
GCA_001380855.1_7755_4_12,0691C,LIN-4,TRUE
GCA_001325565.1_8987_4_87,0693E,LIN-2,TRUE
GCA_001380615.1_7755_4_13,0696H,LIN-2,TRUE
GCA_001846115.1_ASM184611v1,07-05749,LIN-4,TRUE
GCA_001380375.1_7755_4_14,0700M,LIN-2,TRUE
GCA_001381355.1_7755_4_15,0701N,LIN-2,TRUE
GCA_001323305.1_7755_4_16,0702P,LIN-4,TRUE
GCA_001381315.1_7755_4_17,0704R,LIN-2,TRUE
GCA_001380075.1_7755_4_18,0705S,LIN-4,TRUE
GCA_001385495.1_7314_8_72,0710Y,LIN-2,TRUE
GCA_001383555.1_7156_6_36,0716E,LIN-2,TRUE
GCA_001380235.1_7755_4_19,0717F,LIN-4,TRUE
GCA_001380255.1_7755_4_20,0720J,LIN-2,TRUE
GCA_001384715.1_7755_4_21,0721K,LIN-2,TRUE
GCA_001383015.1_7156_6_37,0724N,LIN-4,TRUE
GCA_001384535.1_7755_4_22,0725P,LIN-2,TRUE
GCA_001383135.1_7156_6_38,0728S,LIN-4,TRUE
GCA_001384355.1_7755_4_24,0730V,LIN-4,TRUE
GCA_001384275.1_7755_4_25,0732X,LIN-2,TRUE
GCA_001324905.1_8987_4_95,0733Y,LIN-2,TRUE
GCA_001385615.1_7314_8_73,0734Z,LIN-2,TRUE
GCA_001385775.1_7314_8_74,0738D,LIN-2,TRUE
GCA_001379595.1_7156_6_47,0746M,LIN-4,TRUE
GCA_001385315.1_7755_4_26,0748P,LIN-2,TRUE
GCA_001385135.1_7755_4_27,0749Q,LIN-4,TRUE
GCA_001382715.1_7755_4_28,0750R,LIN-4,TRUE
GCA_001382995.1_7755_4_31,0754W,LIN-2,TRUE
GCA_001383195.1_7755_4_32,0756Y,LIN-2,TRUE
GCA_001383915.1_7755_4_33,0757Z,LIN-2,TRUE
GCA_001384035.1_7755_4_34,0758A,LIN-2,TRUE
GCA_001379755.1_7156_6_48,0761D,LIN-2,TRUE
GCA_001379835.1_7156_7_49,0765H,LIN-4,TRUE
GCA_001379895.1_7156_7_50,0770N,LIN-2,TRUE
GCA_001383655.1_7755_4_36,0772Q,LIN-2,TRUE
GCA_001383795.1_7755_4_37,0773R,LIN-2,TRUE
GCA_001323565.1_7755_4_39,0776V,LIN-2,TRUE
GCA_001385975.1_7156_7_51,0779Y,LIN-2,TRUE
GCA_001381955.1_7755_4_40,0780Z,LIN-2,TRUE
GCA_001381875.1_7755_4_41,0782B,LIN-4,TRUE
GCA_001381695.1_7755_4_42,0784D,LIN-2,TRUE
GCA_001323385.1_7755_4_43,0785E,LIN-2,TRUE
GCA_001381475.1_7755_4_44,0786F,LIN-4,TRUE
GCA_001323365.1_7755_4_45,0787G,LIN-4,TRUE
GCA_001381375.1_7755_4_46,0788H,LIN-4,TRUE
GCA_001323625.1_7755_4_48,0790K,LIN-2,TRUE
GCA_001323645.1_7755_5_49,0793N,LIN-4,TRUE
GCA_001382395.1_7755_5_51,0799V,LIN-2,TRUE
GCA_000749675.1_ASM74967v1,08-08BF2,LIN-B,TRUE
GCA_001846945.1_ASM184694v1,08-R1906,LIN-4,TRUE
GCA_001382495.1_7755_5_52,0802Y,LIN-2,TRUE
GCA_001385895.1_7755_5_53,0805B,LIN-2,TRUE
GCA_001377875.1_6954_7_23,0807D,LIN-2,TRUE
GCA_001376495.1_6954_7_24,0812J,LIN-2,TRUE
GCA_001376635.1_6954_7_25,0813K,LIN-2,TRUE
GCA_001376355.1_6954_7_26,0816N,LIN-2,TRUE
GCA_001322185.1_6954_7_27,0817P,LIN-2,TRUE
GCA_001376755.1_6954_7_28,0818Q,LIN-2,TRUE
GCA_001385815.1_7755_5_54,0820S,LIN-2,TRUE
GCA_000749745.1_ASM74974v1,0822-11,LIN-B,TRUE
GCA_001386115.1_7755_5_56,0822V,LIN-4,TRUE
GCA_001385995.1_7755_5_57,0823W,LIN-2,TRUE
GCA_001323045.1_7755_5_58,0824X,LIN-2,TRUE
GCA_001323065.1_7755_5_59,0825Y,LIN-4,TRUE
GCA_001378755.1_7755_5_60,0826Z,LIN-2,TRUE
GCA_001375855.1_6954_7_29,0828B,LIN-2,TRUE
GCA_001378895.1_7755_5_61,0829C,LIN-2,TRUE
GCA_001321925.1_6954_7_30,0831E,LIN-2,TRUE
GCA_001376115.1_6954_7_31,0833G,LIN-2,TRUE
GCA_001377835.1_6954_7_32,0834H,LIN-2,TRUE
GCA_001378015.1_6954_7_33,0835J,LIN-2,TRUE
GCA_001378175.1_6954_7_34,0836K,LIN-4,TRUE
GCA_001378975.1_7755_5_62,0837L,LIN-2,TRUE
GCA_001378375.1_6954_7_35,0838M,LIN-4,TRUE
GCA_001378355.1_6954_7_36,0839N,LIN-2,TRUE
GCA_001322205.1_6954_7_37,0840P,LIN-2,TRUE
GCA_001377195.1_6954_7_38,0842R,LIN-4,TRUE
GCA_001377435.1_6954_7_39,0843S,LIN-2,TRUE
GCA_001376955.1_6954_7_41,0845V,LIN-4,TRUE
GCA_001376435.1_6954_7_42,0846W,LIN-2,TRUE
GCA_001321985.1_6954_7_43,0847X,LIN-4,TRUE
GCA_001375975.1_6954_7_44,0848Y,LIN-2,TRUE
GCA_001376795.1_6954_7_13,0851B,LIN-4,TRUE
GCA_001322105.1_6954_7_14,0856G,LIN-2,TRUE
GCA_001378495.1_7755_5_63,0857H,LIN-4,TRUE
GCA_001385415.1_7314_8_75,0860L,LIN-2,TRUE
GCA_001381675.1_7156_6_20,0864Q,LIN-2,TRUE
GCA_001379315.1_7755_5_65,0868V,LIN-2,TRUE
GCA_001379395.1_7755_5_66,0869W,LIN-2,TRUE
GCA_001379875.1_7156_6_21,0873A,LIN-2,TRUE
GCA_001379475.1_7755_5_67,0874B,LIN-2,TRUE
GCA_001383075.1_7755_5_68,0875C,LIN-4,TRUE
GCA_001385255.1_7156_6_22,0878F,LIN-2,TRUE
GCA_001383215.1_7755_5_69,0886P,LIN-4,TRUE
GCA_001323865.1_7755_5_70,0887Q,LIN-2,TRUE
GCA_001323925.1_7755_5_71,0888R,LIN-4,TRUE
GCA_001383515.1_7755_5_72,0889S,LIN-4,TRUE
GCA_001387595.1_8987_4_8,0896A,LIN-2,TRUE
GCA_001380555.1_7156_6_39,0897B,LIN-2,TRUE
GCA_001383615.1_7755_5_73,0899D,LIN-2,TRUE
GCA_000729745.1_ASM72974v1,09-1191,LIN-B,TRUE
GCA_000749805.1_ASM74980v1,09-1192,LIN-B,TRUE
GCA_000749685.1_ASM74968v1,09-1193,LIN-B,TRUE
GCA_001383735.1_7755_5_74,0902G,LIN-4,TRUE
